Sentence,Polarity,Subjectivity
Commercial Companies Advance Space Exploration ( VIDEO ) newsynewsU.S . NewsWORLDPoliticsScience HealthTechBusinessEntertainmentSportsinvestigationsdocumentariesshowsschedulewhere watchHow Commercial Companies Are Advancing Space ExplorationShareTweetEmailSMSHow Commercial Companies Are Advancing Space ExplorationBy Clayton SandellBy Clayton SandellOctober 29 2021October 29 2021Theres competition among roughly dozen private companies launch new space stations .,0.006060606060606058,0.20492424242424243
As astronauts blast International Space Station weekend SpaceX rocket company also showing massive ship says one day take travelers far far away .,0.05,0.75
Newly released video shows Starship lifting aerial ballet flips turns landing .,0.13636363636363635,0.45454545454545453
SpaceX hopes ship reach orbit first time next month maybe one day make founder Elon Musks mission-to-Mars dreams reality .,0.125,0.16666666666666666
`` He says I want die Mars impact `` editor Spaceref.com Keith Cowing said .,0.0,0.0
`` Ive known Elon forever like 20 years .,0.0,0.0
I met actually kid,0.0,0.1
I lot younger less gray hair .,-0.08333333333333333,0.03333333333333333
So doesnt surprise .,0.0,0.0
Hes always awed stuff anybody else I think kind important youre trying audacious things .,0.5,0.95
`` Hyping test footage social media even rocket blooper reels like one Musk posted part modern space race lot different way NASA used .,0.07777777777777778,0.3222222222222222
`` Well,0.0,0.0
know theres two different approaches quite frankly SpaceX one one produces cool videos make want watch .,0.175,0.625
NASAs dont `` Cowing said .,0.0,0.0
Theres also competition among roughly dozen private companies launch new space stations like just-announced `` Orbital Reef '' Sierra Space Blue Origin owned Jeff Bezos .,0.009090909090909087,0.33238636363636365
`` The current space station I worked I kid getting old like anything got replace .,0.05,0.30000000000000004
And NASA sort really wanting go whole $ 100 billion thing need something like `` Cowing said .,0.2,0.30000000000000004
`` So like theyve started use commercial carriers cargo space station crew theyre looking hopefully spurring industry one private space stations space things NASA wants way stuff private sector wants .,0.08,0.19
`` Which space industry experts say count NASA .,0.0,0.0
`` So — 21st century — need NASA ?,0.0,0.0
Yeah `` Cowing said .,0.0,0.0
`` Because theres always cutting-edge thing private sector gon na say I cant make money .,0.0,0.375
But NASA says Well maybe 20 years .,0.0,0.0
Were going invest dollars could breakthrough technology go explore solar system sheer benefit science .,0.0,0.75
`` Besides money space enthusiasts say NASA — six-decade history –—still special ability something priceless,0.6785714285714286,0.7857142857142857
: inspire new generation explorers .,0.13636363636363635,0.45454545454545453
ShareTweetEmailSMSTRENDING IN U.S. NEWS4:07Mel Evans APVeterinarian Shortage Could Leave 75M Pets Without Medical Care5:00WPTVHow,0.0,0.0
The Pandemic Impacts Children With Autism0:19Chris OMeara APSpirit JetBlue Cancel Hundreds Of Weekend FlightsPetros Giannakouris APJudge Rules U.S. Military Cant Discharge HIV-Positive TroopsHaven Daley APBiden Expected To Release Rule On Ghost Guns,-0.1,0.25
In Days0:31Yuki Iwamura APNew York City Mayor Eric Adams Tests Positive For COVID-192:20Atlanta Police DepartmentPhone App Helps Police Find 9-Year-Old In Backseat Of,0.22727272727272727,0.5454545454545454
Stolen CarJordan Strauss Invision APAccused Shooter,0.0,0.0
In Lady Gaga Dog Theft Mistakenly Freed newsyShowsDocumentariesTV,0.0,0.0
ScheduleChannel FinderNewsletterContact UsCareersCompany NewsRSSSitemapPrivacy PolicyTerms UseLicensingJournalism Ethics GuidelinesDo Not Sell My Personal InformationPrivacy CenterTechnology SettingsConnect With UsfacebooktwitteryoutubeinstagramlinkedincontactNewsy © 2022 Newsy E.W . Scripps Company Brand,0.0,0.3
